decision,context_key,trade_template,risk_profile,direction_policy,meta_reason,meta_candidate_rank,meta_context_resolution_level,meta_candidates_n,baseline_id,candidate_0,candidate_1,candidate_2,ts,state,ql,lf,session,lf_resolved,lf_active_flags_n,lf_active_flags,first_candidate,candidates_joined,engine_context_key,lf_context_mismatch,ql_context_mismatch,meta_baseline_id,meta_uplift_pp,meta_n_bars,meta_wf_score
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,2025-01-02 13:00:00,TRANSITION,TRANSITION_UNCLASSIFIED,NONE,NY,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,0,1,,,,
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,2025-01-02 14:00:00,TRANSITION,TRANSITION_UNCLASSIFIED,NONE,NY,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,0,1,,,,
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,2025-01-02 15:00:00,TRANSITION,TRANSITION_UNCLASSIFIED,NONE,NY,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,0,1,,,,
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,2025-01-02 16:00:00,TRANSITION,TRANSITION_UNCLASSIFIED,NONE,NY,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,0,1,,,,
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,2025-01-02 17:00:00,TRANSITION,TRANSITION_FAILED,NONE,NY,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,0,1,,,,
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,2025-01-02 18:00:00,TRANSITION,TRANSITION_FAILED,NONE,NY_PM,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,0,1,,,,
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,2025-01-02 19:00:00,TRANSITION,TRANSITION_FAILED,NONE,NY_PM,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_FAILED|LF=NONE,0,1,,,,
BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,2025-01-02 20:00:00,BALANCE,BALANCE_COMPRESSING,NONE,NY_PM,NONE,0,NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE|STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,0,1,,,,
BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,2025-01-02 21:00:00,BALANCE,BALANCE_COMPRESSING,NONE,NY_PM,NONE,0,NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE|STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,0,1,,,,
BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,2025-01-03 13:00:00,BALANCE,BALANCE_COMPRESSING,NONE,NY,NONE,0,NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE|STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,0,1,,,,
BLOCK,STATE=BALANCE|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,2025-01-03 14:00:00,BALANCE,BALANCE_COMPRESSING,NONE,NY,NONE,0,NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE|STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE|STATE=BALANCE|QL=NONE|LF=NONE,STATE=BALANCE|QL=BALANCE_COMPRESSING|LF=NONE,0,1,,,,
BLOCK,STATE=TRANSITION|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,2025-01-03 15:00:00,TRANSITION,TRANSITION_UNCLASSIFIED,NONE,NY,NONE,0,NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE|STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE|STATE=TRANSITION|QL=NONE|LF=NONE,STATE=TRANSITION|QL=TRANSITION_UNCLASSIFIED|LF=NONE,0,1,,,,
BLOCK,STATE=TREND|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TREND|QL=TREND_STRONG|LF=NONE,STATE=TREND|QL=NONE|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,2025-01-03 16:00:00,TREND,TREND_STRONG,NONE,NY,NONE,0,NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE|STATE=TREND|QL=NONE|LF=NONE|STATE=TREND|QL=TREND_STRONG|LF=NONE|STATE=TREND|QL=NONE|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,0,1,,,,
BLOCK,STATE=TREND|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TREND|QL=TREND_STRONG|LF=NONE,STATE=TREND|QL=NONE|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,2025-01-03 17:00:00,TREND,TREND_STRONG,NONE,NY,NONE,0,NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE|STATE=TREND|QL=NONE|LF=NONE|STATE=TREND|QL=TREND_STRONG|LF=NONE|STATE=TREND|QL=NONE|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,0,1,,,,
BLOCK,STATE=TREND|QL=NONE|LF=NONE,,,,no_go_context,1,STATE,4,NULL,STATE=TREND|QL=TREND_STRONG|LF=NONE,STATE=TREND|QL=NONE|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,2025-01-03 18:00:00,TREND,TREND_STRONG,NONE,NY_PM,NONE,0,NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE|STATE=TREND|QL=NONE|LF=NONE|STATE=TREND|QL=TREND_STRONG|LF=NONE|STATE=TREND|QL=NONE|LF=NONE,STATE=TREND|QL=TREND_STRONG|LF=NONE,0,1,,,,
